key_0,actual,predicted,age,income,membership_duration,amount_spent,offer,difficulty,duration,reward,web,email,social,mobile,offer_type = _bogo,offer_type = _discount,offer_type = _informational,gender = _F,gender = _M,gender = _O
3841,0.0,0.0,39,48000.0,71,12.63,10,10,7,2,1,1,0,1,0,1,0,0,1,0
9923,0.0,1.0,67,91000.0,719,27.04,4,5,7,5,1,1,0,1,1,0,0,0,1,0
11768,0.0,0.0,31,53000.0,55,4.5600000000000005,6,7,7,3,1,1,1,1,0,1,0,0,1,0
11196,1.0,1.0,84,73000.0,697,17.82,6,7,7,3,1,1,1,1,0,1,0,1,0,0
8157,1.0,1.0,59,31000.0,75,0.11,8,0,3,0,0,1,1,1,0,0,1,0,1,0
5198,0.0,1.0,41,33000.0,956,6.31,4,5,7,5,1,1,0,1,1,0,0,1,0,0
565,0.0,1.0,66,94000.0,599,27.8,5,20,10,5,1,1,0,0,0,1,0,1,0,0
9253,0.0,0.0,62,74000.0,172,16.3,10,10,7,2,1,1,0,1,0,1,0,1,0,0
9358,0.0,0.0,52,54000.0,212,9.56,4,5,7,5,1,1,0,1,1,0,0,0,1,0
10637,1.0,1.0,51,35000.0,105,0.6900000000000001,8,0,3,0,0,1,1,1,0,0,1,1,0,0
8268,0.0,0.0,67,31000.0,360,0.51,9,5,5,5,1,1,1,1,1,0,0,0,1,0
11511,1.0,1.0,30,54000.0,808,13.99,8,0,3,0,0,1,1,1,0,0,1,1,0,0
4567,0.0,0.0,27,32000.0,165,3.34,6,7,7,3,1,1,1,1,0,1,0,0,1,0
14904,1.0,0.0,55,65000.0,0,19.85,1,10,7,10,0,1,1,1,1,0,0,1,0,0
10910,0.0,0.0,49,95000.0,80,33.15,5,20,10,5,1,1,0,0,0,1,0,1,0,0
3930,0.0,1.0,52,71000.0,383,18.12,3,0,4,0,1,1,0,1,0,0,1,0,1,0
15726,0.0,0.0,68,31000.0,319,1.32,7,10,10,2,1,1,1,1,0,1,0,0,1,0
18938,0.0,0.0,63,103000.0,141,22.33,5,20,10,5,1,1,0,0,0,1,0,1,0,0
3871,0.0,0.0,39,42000.0,263,4.44,5,20,10,5,1,1,0,0,0,1,0,1,0,0
1953,1.0,1.0,63,70000.0,340,21.17,7,10,10,2,1,1,1,1,0,1,0,0,1,0
4423,0.0,0.0,23,42000.0,89,1.69,5,20,10,5,1,1,0,0,0,1,0,0,1,0
17325,1.0,1.0,49,71000.0,740,21.31,3,0,4,0,1,1,0,1,0,0,1,0,1,0
4424,0.0,0.0,23,42000.0,89,1.69,9,5,5,5,1,1,1,1,1,0,0,0,1,0
9209,0.0,0.0,62,52000.0,305,9.64,9,5,5,5,1,1,1,1,1,0,0,0,1,0
13450,1.0,1.0,100,83000.0,757,17.73,3,0,4,0,1,1,0,1,0,0,1,0,0,1
5742,0.0,0.0,42,64000.0,137,22.23,2,10,5,10,1,1,1,1,1,0,0,0,1,0
10932,0.0,0.0,71,110000.0,363,27.74,4,5,7,5,1,1,0,1,1,0,0,1,0,0
2985,1.0,1.0,62,70000.0,160,17.61,8,0,3,0,0,1,1,1,0,0,1,1,0,0
12727,0.0,0.0,58,85000.0,170,19.35,1,10,7,10,0,1,1,1,1,0,0,0,1,0
16894,0.0,0.0,26,56000.0,156,0.87,4,5,7,5,1,1,0,1,1,0,0,1,0,0
6059,0.0,0.0,67,56000.0,280,15.18,9,5,5,5,1,1,1,1,1,0,0,1,0,0
1201,1.0,1.0,50,89000.0,43,19.83,3,0,4,0,1,1,0,1,0,0,1,0,1,0
16362,1.0,1.0,58,77000.0,653,29.17,8,0,3,0,0,1,1,1,0,0,1,0,1,0
438,0.0,1.0,58,76000.0,522,16.69,10,10,7,2,1,1,0,1,0,1,0,1,0,0
11888,1.0,1.0,48,91000.0,294,17.37,7,10,10,2,1,1,1,1,0,1,0,0,1,0
82,0.0,0.0,27,35000.0,197,0.7000000000000001,5,20,10,5,1,1,0,0,0,1,0,0,1,0
10307,0.0,0.0,33,34000.0,275,2.74,1,10,7,10,0,1,1,1,1,0,0,0,1,0
1385,0.0,0.0,48,39000.0,27,0.33,5,20,10,5,1,1,0,0,0,1,0,0,1,0
18028,1.0,1.0,50,62000.0,867,17.85,2,10,5,10,1,1,1,1,1,0,0,0,1,0
5104,1.0,1.0,90,33000.0,653,7.04,8,0,3,0,0,1,1,1,0,0,1,1,0,0
2447,1.0,1.0,65,75000.0,315,14.25,3,0,4,0,1,1,0,1,0,0,1,1,0,0
4691,1.0,1.0,81,120000.0,700,12.31,1,10,7,10,0,1,1,1,1,0,0,0,1,0
3284,0.0,0.0,49,56000.0,193,10.56,1,10,7,10,0,1,1,1,1,0,0,0,1,0
13474,0.0,0.0,41,53000.0,181,14.29,5,20,10,5,1,1,0,0,0,1,0,1,0,0
15049,0.0,0.0,59,40000.0,152,0.52,10,10,7,2,1,1,0,1,0,1,0,0,1,0
8917,0.0,0.0,20,63000.0,29,2.18,2,10,5,10,1,1,1,1,1,0,0,0,1,0
2539,0.0,0.0,27,47000.0,833,3.71,1,10,7,10,0,1,1,1,1,0,0,0,1,0
4641,1.0,1.0,59,103000.0,713,30.91,3,0,4,0,1,1,0,1,0,0,1,1,0,0
5707,1.0,1.0,70,114000.0,1017,38.29,8,0,3,0,0,1,1,1,0,0,1,0,1,0
7487,1.0,0.0,44,50000.0,352,14.56,1,10,7,10,0,1,1,1,1,0,0,0,1,0
4222,0.0,1.0,47,59000.0,286,11.7,6,7,7,3,1,1,1,1,0,1,0,0,1,0
7956,0.0,0.0,54,32000.0,926,8.65,1,10,7,10,0,1,1,1,1,0,0,0,1,0
8296,1.0,1.0,75,49000.0,221,1.63,8,0,3,0,0,1,1,1,0,0,1,0,1,0
14056,0.0,0.0,60,37000.0,347,6.82,4,5,7,5,1,1,0,1,1,0,0,1,0,0
6000,1.0,1.0,57,84000.0,257,26.47,8,0,3,0,0,1,1,1,0,0,1,1,0,0
19394,0.0,0.0,66,93000.0,156,25.0,9,5,5,5,1,1,1,1,1,0,0,0,1,0
12492,0.0,0.0,80,32000.0,180,0.18,1,10,7,10,0,1,1,1,1,0,0,0,1,0
14896,1.0,1.0,55,119000.0,864,22.44,8,0,3,0,0,1,1,1,0,0,1,1,0,0
9826,0.0,0.0,27,32000.0,276,3.05,10,10,7,2,1,1,0,1,0,1,0,0,1,0
7202,0.0,0.0,23,35000.0,45,2.71,2,10,5,10,1,1,1,1,1,0,0,0,1,0
19013,1.0,1.0,64,95000.0,402,27.53,10,10,7,2,1,1,0,1,0,1,0,1,0,0
8560,0.0,0.0,36,55000.0,176,4.52,9,5,5,5,1,1,1,1,1,0,0,0,1,0
13569,0.0,0.0,67,83000.0,246,31.93,2,10,5,10,1,1,1,1,1,0,0,0,1,0
13168,0.0,0.0,31,53000.0,87,2.39,6,7,7,3,1,1,1,1,0,1,0,0,1,0
14515,1.0,1.0,37,52000.0,153,14.24,8,0,3,0,0,1,1,1,0,0,1,1,0,0
343,0.0,0.0,81,70000.0,785,21.63,5,20,10,5,1,1,0,0,0,1,0,0,1,0
4253,0.0,1.0,51,77000.0,45,20.16,7,10,10,2,1,1,1,1,0,1,0,1,0,0
10980,0.0,0.0,49,83000.0,43,30.86,1,10,7,10,0,1,1,1,1,0,0,0,1,0
17068,0.0,0.0,53,59000.0,100,18.21,5,20,10,5,1,1,0,0,0,1,0,0,1,0
19948,0.0,0.0,60,38000.0,130,2.62,4,5,7,5,1,1,0,1,1,0,0,0,1,0
2124,0.0,0.0,57,32000.0,306,6.48,10,10,7,2,1,1,0,1,0,1,0,1,0,0
13758,0.0,0.0,61,58000.0,293,4.64,3,0,4,0,1,1,0,1,0,0,1,0,1,0
4646,0.0,0.0,64,54000.0,449,2.27,1,10,7,10,0,1,1,1,1,0,0,0,1,0
2573,0.0,1.0,43,70000.0,588,9.11,4,5,7,5,1,1,0,1,1,0,0,1,0,0
5700,0.0,0.0,45,49000.0,298,1.67,5,20,10,5,1,1,0,0,0,1,0,1,0,0
18872,1.0,1.0,78,99000.0,938,29.42,6,7,7,3,1,1,1,1,0,1,0,1,0,0
14928,0.0,0.0,72,77000.0,306,16.62,1,10,7,10,0,1,1,1,1,0,0,1,0,0
20320,0.0,0.0,51,39000.0,114,1.5,4,5,7,5,1,1,0,1,1,0,0,0,1,0
16914,0.0,0.0,59,47000.0,1314,3.89,2,10,5,10,1,1,1,1,1,0,0,0,1,0
17362,0.0,0.0,25,68000.0,1125,1.11,2,10,5,10,1,1,1,1,1,0,0,0,1,0
15452,0.0,0.0,72,67000.0,174,6.37,1,10,7,10,0,1,1,1,1,0,0,0,1,0
13542,0.0,0.0,71,85000.0,1015,19.13,10,10,7,2,1,1,0,1,0,1,0,1,0,0
8414,0.0,0.0,76,43000.0,358,6.8,4,5,7,5,1,1,0,1,1,0,0,0,1,0
11174,0.0,0.0,50,57000.0,77,0.79,3,0,4,0,1,1,0,1,0,0,1,1,0,0
516,0.0,0.0,54,70000.0,254,9.63,2,10,5,10,1,1,1,1,1,0,0,0,1,0
14804,0.0,0.0,33,37000.0,131,1.3,6,7,7,3,1,1,1,1,0,1,0,0,1,0
12244,1.0,1.0,65,51000.0,5,10.93,8,0,3,0,0,1,1,1,0,0,1,0,1,0
6607,1.0,1.0,58,68000.0,469,23.95,10,10,7,2,1,1,0,1,0,1,0,1,0,0
5794,0.0,0.0,44,35000.0,183,0.35,9,5,5,5,1,1,1,1,1,0,0,0,1,0
6742,0.0,0.0,49,58000.0,181,10.36,7,10,10,2,1,1,1,1,0,1,0,1,0,0
15614,1.0,1.0,62,97000.0,332,25.91,2,10,5,10,1,1,1,1,1,0,0,1,0,0
11424,1.0,1.0,76,66000.0,637,16.91,10,10,7,2,1,1,0,1,0,1,0,1,0,0
14126,0.0,0.0,39,37000.0,90,2.71,7,10,10,2,1,1,1,1,0,1,0,0,1,0
15809,0.0,0.0,52,34000.0,304,4.51,9,5,5,5,1,1,1,1,1,0,0,0,1,0
13299,1.0,1.0,52,106000.0,593,33.07,8,0,3,0,0,1,1,1,0,0,1,0,1,0
18143,1.0,1.0,42,74000.0,357,22.33,7,10,10,2,1,1,1,1,0,1,0,0,1,0
300,0.0,0.0,44,36000.0,288,7.37,10,10,7,2,1,1,0,1,0,1,0,0,1,0
13673,0.0,0.0,61,66000.0,162,3.24,2,10,5,10,1,1,1,1,1,0,0,0,1,0
16329,0.0,0.0,45,70000.0,0,17.02,5,20,10,5,1,1,0,0,0,1,0,1,0,0
19543,0.0,0.0,71,93000.0,669,24.26,4,5,7,5,1,1,0,1,1,0,0,1,0,0
7251,0.0,0.0,52,68000.0,121,2.58,9,5,5,5,1,1,1,1,1,0,0,0,1,0
10161,1.0,1.0,81,81000.0,224,21.21,6,7,7,3,1,1,1,1,0,1,0,0,1,0
5679,0.0,1.0,59,105000.0,374,33.71,3,0,4,0,1,1,0,1,0,0,1,0,1,0
13709,0.0,0.0,38,44000.0,255,2.69,5,20,10,5,1,1,0,0,0,1,0,0,1,0
18719,1.0,1.0,73,54000.0,246,11.87,2,10,5,10,1,1,1,1,1,0,0,0,1,0
9874,0.0,0.0,56,55000.0,225,0.75,1,10,7,10,0,1,1,1,1,0,0,0,1,0
19907,1.0,1.0,59,69000.0,871,28.21,8,0,3,0,0,1,1,1,0,0,1,0,1,0
9351,0.0,1.0,56,71000.0,836,19.8,8,0,3,0,0,1,1,1,0,0,1,1,0,0
183,0.0,0.0,67,50000.0,332,13.74,2,10,5,10,1,1,1,1,1,0,0,0,1,0
7370,0.0,0.0,74,84000.0,72,26.67,4,5,7,5,1,1,0,1,1,0,0,0,1,0
16256,0.0,0.0,51,73000.0,354,1.82,9,5,5,5,1,1,1,1,1,0,0,0,1,0
9594,0.0,0.0,57,49000.0,142,2.96,1,10,7,10,0,1,1,1,1,0,0,1,0,0
1289,0.0,0.0,28,67000.0,296,4.51,1,10,7,10,0,1,1,1,1,0,0,0,1,0
18590,0.0,0.0,56,50000.0,76,6.07,9,5,5,5,1,1,1,1,1,0,0,1,0,0
7081,1.0,1.0,24,60000.0,221,2.52,8,0,3,0,0,1,1,1,0,0,1,1,0,0
15483,1.0,1.0,33,37000.0,354,10.7,9,5,5,5,1,1,1,1,1,0,0,1,0,0
17640,0.0,0.0,59,89000.0,193,20.04,4,5,7,5,1,1,0,1,1,0,0,0,1,0
14941,0.0,0.0,34,62000.0,220,4.53,7,10,10,2,1,1,1,1,0,1,0,0,1,0
12996,0.0,0.0,34,36000.0,61,4.45,2,10,5,10,1,1,1,1,1,0,0,0,1,0
5877,0.0,1.0,52,92000.0,992,30.81,3,0,4,0,1,1,0,1,0,0,1,1,0,0
1427,0.0,0.0,42,50000.0,200,6.6,7,10,10,2,1,1,1,1,0,1,0,0,1,0
5722,1.0,1.0,53,34000.0,502,8.67,8,0,3,0,0,1,1,1,0,0,1,1,0,0
13141,0.0,0.0,41,34000.0,1478,1.55,5,20,10,5,1,1,0,0,0,1,0,0,1,0
1883,0.0,0.0,30,56000.0,797,2.63,5,20,10,5,1,1,0,0,0,1,0,1,0,0
9911,1.0,1.0,27,31000.0,396,9.86,8,0,3,0,0,1,1,1,0,0,1,1,0,0
5729,0.0,0.0,62,60000.0,211,1.37,5,20,10,5,1,1,0,0,0,1,0,0,1,0
10635,0.0,0.0,39,31000.0,1563,0.61,2,10,5,10,1,1,1,1,1,0,0,1,0,0
5264,1.0,1.0,75,67000.0,229,22.85,9,5,5,5,1,1,1,1,1,0,0,1,0,0
14661,0.0,0.0,66,82000.0,1606,41.83,5,20,10,5,1,1,0,0,0,1,0,0,1,0
12576,0.0,0.0,50,47000.0,1793,0.84,2,10,5,10,1,1,1,1,1,0,0,0,1,0
625,0.0,0.0,18,48000.0,1180,1.5,5,20,10,5,1,1,0,0,0,1,0,0,1,0
2078,0.0,0.0,39,37000.0,217,0.58,1,10,7,10,0,1,1,1,1,0,0,0,1,0
6127,1.0,1.0,62,64000.0,449,8.26,3,0,4,0,1,1,0,1,0,0,1,1,0,0
1295,1.0,1.0,83,34000.0,406,6.87,8,0,3,0,0,1,1,1,0,0,1,1,0,0
14598,0.0,0.0,49,85000.0,341,25.53,1,10,7,10,0,1,1,1,1,0,0,0,1,0
15743,0.0,0.0,95,51000.0,1,1.21,5,20,10,5,1,1,0,0,0,1,0,0,1,0
20852,0.0,0.0,19,62000.0,62,4.51,9,5,5,5,1,1,1,1,1,0,0,0,1,0
16859,0.0,0.0,78,54000.0,1402,4.61,1,10,7,10,0,1,1,1,1,0,0,1,0,0
12835,0.0,0.0,24,46000.0,237,1.22,4,5,7,5,1,1,0,1,1,0,0,0,1,0
7494,0.0,0.0,21,44000.0,208,0.16,4,5,7,5,1,1,0,1,1,0,0,0,1,0
3087,1.0,0.0,55,70000.0,1065,22.87,5,20,10,5,1,1,0,0,0,1,0,0,1,0
10784,0.0,0.0,78,61000.0,862,16.9,5,20,10,5,1,1,0,0,0,1,0,0,1,0
13209,0.0,0.0,32,71000.0,289,2.27,2,10,5,10,1,1,1,1,1,0,0,1,0,0
5721,1.0,1.0,43,58000.0,1023,18.67,9,5,5,5,1,1,1,1,1,0,0,1,0,0
9339,1.0,1.0,69,58000.0,201,20.83,10,10,7,2,1,1,0,1,0,1,0,0,1,0
15388,1.0,0.0,55,50000.0,621,12.17,4,5,7,5,1,1,0,1,1,0,0,1,0,0
4281,0.0,0.0,58,75000.0,232,33.48,10,10,7,2,1,1,0,1,0,1,0,1,0,0
10851,1.0,1.0,45,67000.0,613,11.98,9,5,5,5,1,1,1,1,1,0,0,0,1,0
18995,0.0,0.0,67,61000.0,62,6.68,10,10,7,2,1,1,0,1,0,1,0,0,1,0
6189,1.0,0.0,61,37000.0,281,6.31,3,0,4,0,1,1,0,1,0,0,1,0,1,0
16861,0.0,0.0,78,54000.0,1402,4.61,5,20,10,5,1,1,0,0,0,1,0,1,0,0
2811,0.0,0.0,47,47000.0,96,2.78,10,10,7,2,1,1,0,1,0,1,0,0,1,0
10476,0.0,0.0,21,45000.0,1122,5.48,10,10,7,2,1,1,0,1,0,1,0,0,0,1
44,1.0,1.0,39,51000.0,1521,2.63,8,0,3,0,0,1,1,1,0,0,1,0,1,0
4390,1.0,1.0,49,87000.0,487,25.99,8,0,3,0,0,1,1,1,0,0,1,1,0,0
9186,0.0,0.0,86,109000.0,105,33.2,3,0,4,0,1,1,0,1,0,0,1,1,0,0
13413,0.0,0.0,72,61000.0,251,2.98,4,5,7,5,1,1,0,1,1,0,0,1,0,0
16876,1.0,1.0,22,63000.0,69,5.66,8,0,3,0,0,1,1,1,0,0,1,0,1,0
17464,0.0,0.0,80,98000.0,259,21.45,10,10,7,2,1,1,0,1,0,1,0,0,1,0
1475,0.0,0.0,32,45000.0,730,9.86,3,0,4,0,1,1,0,1,0,0,1,0,1,0
8051,0.0,0.0,26,56000.0,290,3.17,1,10,7,10,0,1,1,1,1,0,0,0,1,0
275,1.0,1.0,34,67000.0,100,1.57,8,0,3,0,0,1,1,1,0,0,1,1,0,0
6201,0.0,0.0,22,53000.0,218,4.35,4,5,7,5,1,1,0,1,1,0,0,0,1,0
13440,0.0,0.0,51,47000.0,273,1.19,5,20,10,5,1,1,0,0,0,1,0,0,1,0
7918,0.0,0.0,74,100000.0,232,21.34,1,10,7,10,0,1,1,1,1,0,0,1,0,0
16249,1.0,1.0,26,30000.0,89,8.11,6,7,7,3,1,1,1,1,0,1,0,1,0,0
9417,0.0,1.0,66,96000.0,458,28.49,4,5,7,5,1,1,0,1,1,0,0,1,0,0
13517,1.0,0.0,57,68000.0,321,19.83,1,10,7,10,0,1,1,1,1,0,0,0,1,0
18596,0.0,0.0,34,48000.0,553,3.97,4,5,7,5,1,1,0,1,1,0,0,1,0,0
18889,1.0,0.0,44,51000.0,330,14.21,4,5,7,5,1,1,0,1,1,0,0,0,1,0
8688,0.0,0.0,77,38000.0,21,3.66,3,0,4,0,1,1,0,1,0,0,1,0,1,0
8668,1.0,0.0,62,51000.0,405,14.19,1,10,7,10,0,1,1,1,1,0,0,0,1,0
11851,1.0,1.0,58,93000.0,951,11.08,6,7,7,3,1,1,1,1,0,1,0,0,1,0
20067,0.0,0.0,52,88000.0,248,19.78,2,10,5,10,1,1,1,1,1,0,0,0,1,0
19690,0.0,0.0,78,69000.0,814,3.79,3,0,4,0,1,1,0,1,0,0,1,0,1,0
5550,1.0,0.0,68,79000.0,1178,14.93,2,10,5,10,1,1,1,1,1,0,0,0,1,0
12075,1.0,0.0,78,93000.0,301,10.8,9,5,5,5,1,1,1,1,1,0,0,1,0,0
13987,0.0,0.0,73,50000.0,135,7.43,10,10,7,2,1,1,0,1,0,1,0,0,1,0
14873,1.0,1.0,44,73000.0,816,16.93,10,10,7,2,1,1,0,1,0,1,0,0,1,0
8175,0.0,0.0,56,46000.0,40,8.98,1,10,7,10,0,1,1,1,1,0,0,1,0,0
11996,0.0,0.0,49,98000.0,1129,14.34,2,10,5,10,1,1,1,1,1,0,0,0,1,0
5869,1.0,1.0,74,91000.0,622,37.66,7,10,10,2,1,1,1,1,0,1,0,1,0,0
19286,0.0,0.0,21,47000.0,1272,5.49,1,10,7,10,0,1,1,1,1,0,0,0,1,0
15074,0.0,0.0,46,71000.0,283,15.36,2,10,5,10,1,1,1,1,1,0,0,0,1,0
10792,0.0,0.0,36,90000.0,320,13.82,1,10,7,10,0,1,1,1,1,0,0,0,1,0
7295,0.0,0.0,51,67000.0,256,18.54,5,20,10,5,1,1,0,0,0,1,0,0,1,0
11528,0.0,1.0,56,82000.0,1095,22.05,4,5,7,5,1,1,0,1,1,0,0,0,1,0
17451,1.0,0.0,45,55000.0,308,18.87,9,5,5,5,1,1,1,1,1,0,0,1,0,0
15126,0.0,1.0,79,47000.0,609,12.59,2,10,5,10,1,1,1,1,1,0,0,1,0,0
15192,1.0,1.0,87,47000.0,498,24.41,7,10,10,2,1,1,1,1,0,1,0,1,0,0
19499,0.0,1.0,65,80000.0,1572,10.64,10,10,7,2,1,1,0,1,0,1,0,0,1,0
15336,0.0,0.0,67,77000.0,150,20.64,5,20,10,5,1,1,0,0,0,1,0,0,1,0
16893,1.0,1.0,63,81000.0,1460,28.17,7,10,10,2,1,1,1,1,0,1,0,1,0,0
18061,1.0,0.0,71,52000.0,241,8.26,4,5,7,5,1,1,0,1,1,0,0,0,1,0
11664,0.0,0.0,71,48000.0,266,5.41,4,5,7,5,1,1,0,1,1,0,0,0,1,0
20557,1.0,1.0,70,59000.0,190,6.4,8,0,3,0,0,1,1,1,0,0,1,0,1,0
10040,0.0,0.0,76,54000.0,72,1.57,7,10,10,2,1,1,1,1,0,1,0,0,1,0
2275,0.0,0.0,72,65000.0,342,0.67,6,7,7,3,1,1,1,1,0,1,0,1,0,0
16068,0.0,0.0,44,47000.0,362,2.35,5,20,10,5,1,1,0,0,0,1,0,1,0,0
5595,0.0,0.0,38,32000.0,316,3.7,2,10,5,10,1,1,1,1,1,0,0,0,1,0
8877,1.0,1.0,26,49000.0,860,9.24,6,7,7,3,1,1,1,1,0,1,0,1,0,0
15351,0.0,0.0,91,118000.0,213,27.12,4,5,7,5,1,1,0,1,1,0,0,1,0,0
4017,0.0,0.0,48,77000.0,115,26.71,5,20,10,5,1,1,0,0,0,1,0,0,1,0
415,0.0,0.0,76,34000.0,43,70.19,4,5,7,5,1,1,0,1,1,0,0,1,0,0
13860,0.0,0.0,51,101000.0,244,21.65,2,10,5,10,1,1,1,1,1,0,0,1,0,0
859,0.0,0.0,37,36000.0,219,0.67,5,20,10,5,1,1,0,0,0,1,0,0,1,0
4413,0.0,0.0,67,34000.0,348,6.37,6,7,7,3,1,1,1,1,0,1,0,0,1,0
12149,1.0,1.0,55,37000.0,1440,89.69,8,0,3,0,0,1,1,1,0,0,1,0,1,0
9430,0.0,0.0,66,97000.0,255,23.68,5,20,10,5,1,1,0,0,0,1,0,0,1,0
20875,0.0,0.0,51,31000.0,105,2.24,10,10,7,2,1,1,0,1,0,1,0,1,0,0
16936,0.0,0.0,61,60000.0,118,17.54,9,5,5,5,1,1,1,1,1,0,0,0,1,0
14683,0.0,0.0,68,54000.0,2,11.42,5,20,10,5,1,1,0,0,0,1,0,1,0,0
10710,0.0,1.0,69,89000.0,670,26.76,2,10,5,10,1,1,1,1,1,0,0,0,1,0
11726,0.0,0.0,68,95000.0,38,25.07,4,5,7,5,1,1,0,1,1,0,0,1,0,0
13652,0.0,0.0,36,46000.0,269,5.01,9,5,5,5,1,1,1,1,1,0,0,0,1,0
7465,1.0,1.0,45,48000.0,97,3.88,8,0,3,0,0,1,1,1,0,0,1,0,1,0
16452,0.0,0.0,66,32000.0,635,1.87,2,10,5,10,1,1,1,1,1,0,0,1,0,0
9909,0.0,0.0,20,61000.0,323,2.46,2,10,5,10,1,1,1,1,1,0,0,0,1,0
20445,0.0,1.0,74,54000.0,872,14.37,2,10,5,10,1,1,1,1,1,0,0,0,1,0
7319,0.0,0.0,58,95000.0,73,26.38,7,10,10,2,1,1,1,1,0,1,0,1,0,0
231,0.0,0.0,52,63000.0,106,3.01,7,10,10,2,1,1,1,1,0,1,0,0,1,0
16388,0.0,0.0,46,31000.0,1572,1.0,10,10,7,2,1,1,0,1,0,1,0,0,1,0
17910,0.0,0.0,36,45000.0,673,2.03,10,10,7,2,1,1,0,1,0,1,0,1,0,0
12083,1.0,1.0,68,58000.0,1237,12.41,7,10,10,2,1,1,1,1,0,1,0,1,0,0
20629,0.0,0.0,20,49000.0,224,0.27,3,0,4,0,1,1,0,1,0,0,1,0,1,0
11069,0.0,1.0,62,92000.0,366,15.55,7,10,10,2,1,1,1,1,0,1,0,0,1,0
18985,0.0,1.0,37,65000.0,126,14.71,9,5,5,5,1,1,1,1,1,0,0,0,1,0
13016,0.0,0.0,61,34000.0,1155,2.09,2,10,5,10,1,1,1,1,1,0,0,0,1,0
3821,1.0,1.0,60,114000.0,972,32.72,9,5,5,5,1,1,1,1,1,0,0,0,1,0
14665,1.0,1.0,31,38000.0,995,18.17,6,7,7,3,1,1,1,1,0,1,0,1,0,0
17364,0.0,0.0,25,68000.0,1125,1.11,10,10,7,2,1,1,0,1,0,1,0,0,1,0
10788,0.0,0.0,39,52000.0,340,7.27,1,10,7,10,0,1,1,1,1,0,0,0,1,0
15038,1.0,1.0,90,104000.0,650,22.95,2,10,5,10,1,1,1,1,1,0,0,1,0,0
442,0.0,1.0,53,95000.0,1054,27.64,4,5,7,5,1,1,0,1,1,0,0,0,1,0
3308,0.0,0.0,18,73000.0,279,2.7,10,10,7,2,1,1,0,1,0,1,0,0,1,0
18626,1.0,1.0,82,116000.0,469,14.09,7,10,10,2,1,1,1,1,0,1,0,1,0,0
19029,0.0,0.0,68,47000.0,151,6.63,1,10,7,10,0,1,1,1,1,0,0,0,1,0
9064,0.0,0.0,42,45000.0,1281,1.56,5,20,10,5,1,1,0,0,0,1,0,0,1,0
9073,0.0,0.0,61,35000.0,98,1.08,10,10,7,2,1,1,0,1,0,1,0,0,1,0
18365,0.0,0.0,87,72000.0,74,15.02,6,7,7,3,1,1,1,1,0,1,0,1,0,0
10294,0.0,0.0,60,32000.0,233,10.42,9,5,5,5,1,1,1,1,1,0,0,1,0,0
17918,1.0,1.0,73,61000.0,462,12.66,8,0,3,0,0,1,1,1,0,0,1,0,1,0
110,1.0,1.0,52,78000.0,437,12.23,2,10,5,10,1,1,1,1,1,0,0,0,1,0
15051,1.0,1.0,48,37000.0,64,9.03,3,0,4,0,1,1,0,1,0,0,1,1,0,0
741,1.0,1.0,38,66000.0,213,13.17,7,10,10,2,1,1,1,1,0,1,0,1,0,0
8327,0.0,1.0,51,90000.0,1754,31.06,8,0,3,0,0,1,1,1,0,0,1,0,0,1
